"Item UID","ชื่อสินค้า","สีหมึก","บรรทัด 1","หมวด"
"FBTR-1769771537453-0-2x01r82","Color Pencil#24","","","N/A"
"FBTR-1769792397933-0-msncdx7","ดินสอกด 2มิล PC2MA3 สีเขียว","","","N/A"
"FBTR-1769792407010-0-oeyf1vq","Color Pencil#24","","","N/A"
"FBTR-1769791645968-0-09s95wa","Color Pencil#24","","","N/A"
"FBTR-1769792412669-0-1fxk1n4","ปกห่อหนังสือ CV4734","","","N/A"
