"Item UID","ชื่อสินค้า","สีหมึก","บรรทัด 1","หมวด"
"FBTR-1769837200735-0-6v50pyf","Color Pencil#24","","","N/A"
"FBTR-1769837214816-0-a2jgqor","ดินสอกด 2มิล PC2MA3 สีเขียว","","","N/A"
"FBTR-1769792407010-0-oeyf1vq","Color Pencil#24","","","N/A"
"FBTR-1769791645968-0-09s95wa","Color Pencil#24","","","N/A"
"FBTR-1769792412669-0-1fxk1n4","ปกห่อหนังสือ CV4734","","","N/A"
