id,pattern_name,image_url,created_at
87c102d5-d7ed-4588-baee-f5a6127943bb,B024,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961325720_B024.jpg,2026-01-21 02:08:45.286608+00
8c8c80b4-b989-40aa-ae64-b8cace3baf5b,G003,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962268379_G003.jpg,2026-01-21 02:24:28.056539+00
8c9bfb2a-6bb8-4aef-9c53-1d95d5fa48f7,B040,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961333983_B040.jpg,2026-01-21 02:08:53.576562+00
8dd91f20-12a9-419e-ae2f-19ab6b79ada9,C007,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961796759_C007.jpg,2026-01-21 02:16:36.299382+00
8f81ba45-da68-4c95-9531-a330b690cab0,A031,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960216748_A031.jpg,2026-01-21 01:50:16.514586+00
935f2ab5-9d4c-4cdc-b365-f19d7969397f,C036,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961812911_C036.jpg,2026-01-21 02:16:52.486239+00
95e3dd5d-5877-407b-804f-74c1d013d549,B031,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961329170_B031.jpg,2026-01-21 02:08:48.698635+00
9a0af39d-c1d3-4618-a680-35aea0e8edd5,B021,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961323735_B021.jpg,2026-01-21 02:08:43.43548+00
9d396e0f-9fe0-42ec-8e43-2aa78f099250,B022,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961324368_B022.jpg,2026-01-21 02:08:44.128453+00
9d3d4df1-94b0-4a58-a91c-3245d3783fdd,L007,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962120083_L007.jpg,2026-01-21 02:21:59.719121+00
9d6a6113-8d59-4674-b6e5-a48365b670d2,B010,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961316378_B010.jpg,2026-01-21 02:08:36.231769+00
a1f76e33-8ae1-43f7-91a4-f9a63c0b0fbc,C012,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961799451_C012.jpg,2026-01-21 02:16:38.966377+00
a2648c17-943e-4045-a234-84b0c4964600,A008,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960206663_A008.jpg,2026-01-21 01:50:06.427846+00
a28bf6f7-a3a1-4fc5-94b4-7bf32ae651ee,A040,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960221371_A040.jpg,2026-01-21 01:50:20.981257+00
a6e482da-f1a1-40a7-aec6-3b8202a30a9f,B020,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961323160_B020.jpg,2026-01-21 02:08:42.803899+00
a90514ec-3daf-4d41-adf9-80399083848d,B006,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961313359_B006.jpg,2026-01-21 02:08:33.035802+00
aaf94144-cc98-4bfc-a8e1-61bc13f60864,B019,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961322543_B019.jpg,2026-01-21 02:08:42.212879+00
abdaabe0-b128-45ce-8a9a-458c6b259fd5,C033,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961811272_C033.jpg,2026-01-21 02:16:50.841077+00
acad7fbe-d608-46d5-b8d8-c8f2e5f74a4b,C031,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961809677_C031.jpg,2026-01-21 02:16:49.163262+00
ae12e72d-69e3-4e81-8d71-0cb9efc53a7a,C039,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961814446_C039.jpg,2026-01-21 02:16:53.928112+00
af63458d-cf8a-4635-bc5c-e628871ea14c,C002,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961792997_C002.jpg,2026-01-21 02:16:32.775117+00
b015612b-62df-42c0-a9a2-74799df7f2de,A023,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960213758_A023.jpg,2026-01-21 01:50:13.63137+00
b0ca0919-d7cf-423d-b2c2-048404798a32,F003,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768965984785_F003.jpg,2026-01-21 03:26:24.413638+00
b3a04543-6d2d-4e69-abe5-4b360f55b3ea,D001,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962016902_D001.jpg,2026-01-21 02:20:17.18329+00
b6320587-7870-40f8-b185-1b30d29a5c76,F002,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768965984293_F002.jpg,2026-01-21 03:26:23.91198+00
b9749f74-bb69-4b42-9a22-204f98e3bbb1,B023,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961325065_B023.jpg,2026-01-21 02:08:44.787556+00
ba84562c-1a06-4d26-a08c-2076a99e3927,C004,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961794638_C004.jpg,2026-01-21 02:16:34.405985+00
bae221d4-dfe0-4d7e-9fd4-aed738818a8c,A011,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960208707_A011.jpg,2026-01-21 01:50:08.368098+00
bc377c2b-d64b-458c-863f-b40631c4e024,C038,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961814023_C038.jpg,2026-01-21 02:16:53.493381+00
bc3821f9-0cb4-4ba4-b8c5-a1d04241d0b9,B004,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961309389_B004.jpg,2026-01-21 02:08:28.996503+00
be745685-7381-40f2-a267-7216f2db6de9,C018,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961803088_C018.jpg,2026-01-21 02:16:42.550076+00
c03993c0-44a2-420c-b925-d43e93e71183,A033,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960217942_A033.jpg,2026-01-21 01:50:17.654821+00
c0aff49e-4846-4171-a517-2bb0c1832f65,C027,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961807761_C027.jpg,2026-01-21 02:16:47.256217+00
