product_code,product_name,product_type,product_category,storage_location,rubber_code,is_active,image_url,legacy_id,created_at,updated_at
110000260,กระบอกน้ำ BTE01 ลายแมว,FINISHPRODUCT,FIBERLASER,4Eชั้น4แถว11,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000260-1768884632444.jpg,8041,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000261,กระบอกน้ำ BTE02 ลายกระต่าย,FINISHPRODUCT,FIBERLASER,4Eชั้น4แถว12,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000261-1768884632861.jpg,8042,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000262,กระบอกน้ำ BTE03 ลายไดโนเสาร์,FINISHPRODUCT,FIBERLASER,4Eชั้น4แถว13,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000262-1768884633221.jpg,8043,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000263,กระบอกน้ำ BTE04 ลายหมี,FINISHPRODUCT,FIBERLASER,4Eชั้น4แถว14,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000263-1768884633565.jpg,8044,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000264,กระบอกน้ำ BTF01 สีฟ้า,FINISHPRODUCT,FIBERLASER,4Eชั้น3แถว1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000264-1768884633952.jpg,8045,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000265,กระบอกน้ำ BTF02 สีชมพู,FINISHPRODUCT,FIBERLASER,4Eชั้น3แถว2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000265-1768884634272.jpg,8046,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000266,กระบอกน้ำ BTF03 สีม่วง,FINISHPRODUCT,FIBERLASER,4Eชั้น3แถว3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000266-1768884634628.jpg,8047,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000267,กระบอกน้ำ BTF04 สีขาว,FINISHPRODUCT,FIBERLASER,4Eชั้น3แถว4,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000267-1768884634976.jpg,8048,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000268,กระบอกน้ำ BTG01 สีฟ้า,FINISHPRODUCT,FIBERLASER,4Eชั้น3แถว5,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000268-1768884635317.jpg,8049,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000269,กระบอกน้ำ BTG02 สีชมพู,FINISHPRODUCT,FIBERLASER,4Eชั้น3แถว6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000269-1768884635661.jpg,8050,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
